tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
196627	Corynebacterium glutamicum ATCC 13032	1019166	0	live	CGL_RS05895	CGL_RS05895, NCgl1136	homoserine dehydrogenase	homoserine dehydrogenase			NC_003450.3	1242507	1243844	plus	0		
196627	Corynebacterium glutamicum ATCC 13032	1019114	0	live	CGL_RS05635	CGL_RS05635, NCgl1084	multifunctional oxoglutarate decarboxylase/oxoglutarate dehydrogenase thiamine pyrophosphate-binding subunit/dihydrolipoyllysine-residue succinyltransferase subunit	multifunctional oxoglutarate decarboxylase/oxoglutarate dehydrogenase thiamine pyrophosphate-binding subunit/dihydrolipoyllysine-residue succinyltransferase subunit			NC_003450.3	1172498	1176163	minus	0		
196627	Corynebacterium glutamicum ATCC 13032	1020564	0	live	CGL_RS13060	CGL_RS13060, NCgl2528	diaminopimelate dehydrogenase	diaminopimelate dehydrogenase			NC_003450.3	2786754	2787716	minus	0		
196627	Corynebacterium glutamicum ATCC 13032	92792280	0	live	trpL	CGL_RS15555	trp operon leader peptide	trp operon leader peptide			NC_003450.3	3233152	3233205	plus	0		
196627	Corynebacterium glutamicum ATCC 13032	1020138	0	live	pimB	CGL_RS10855, NCgl2106	GDP-mannose-dependent monoacylated alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	GDP-mannose-dependent monoacylated alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase			NC_003450.3	2317631	2318776	minus	0		
196627	Corynebacterium glutamicum ATCC 13032	1019251	0	live	CGL_RS06325	CGL_RS06325, NCgl1221	mechanosensitive ion channel family protein	mechanosensitive ion channel family protein			NC_003450.3	1336092	1337693	minus	0		
196627	Corynebacterium glutamicum ATCC 13032	1018885	0	live	betP	CGL_RS04480, NCgl0856	glycine betaine transporter BetP	glycine betaine transporter BetP			NC_003450.3	944996	946783	plus	0		
196627	Corynebacterium glutamicum ATCC 13032	1020962	0	live	nagL	CGL_RS15050, NCgl2918	mycothiol-dependent maleylpyruvate isomerase NagL	mycothiol-dependent maleylpyruvate isomerase NagL			NC_003450.3	3223990	3224715	minus	0		
196627	Corynebacterium glutamicum ATCC 13032	1019513	0	live	acnR	CGL_RS07725, NCgl1483	TetR/AcrR family transcriptional regulator AcnR	TetR/AcrR family transcriptional regulator AcnR			NC_003450.3	1629298	1629864	plus	0		
196627	Corynebacterium glutamicum ATCC 13032	1020141	0	live	qcrB	CGL_RS10870, NCgl2109	cytochrome bc1 complex cytochrome b subunit	cytochrome bc1 complex cytochrome b subunit			NC_003450.3	2321470	2323089	minus	0		
196627	Corynebacterium glutamicum ATCC 13032	1020507	0	live	ramA	CGL_RS12755, NCgl2472	acetate metabolism transcriptional regulator RamA	acetate metabolism transcriptional regulator RamA			NC_003450.3	2720383	2721228	minus	0		
196627	Corynebacterium glutamicum ATCC 13032	1018983	0	live	glyA	CGL_RS04980, NCgl0954	serine hydroxymethyltransferase	serine hydroxymethyltransferase			NC_003450.3	1050624	1051928	plus	0		
196627	Corynebacterium glutamicum ATCC 13032	1019245	0	live	CGL_RS06295	CGL_RS06295, NCgl1215	ArgP/LysG family DNA-binding transcriptional regulator	ArgP/LysG family DNA-binding transcriptional regulator			NC_003450.3	1329015	1329887	plus	0		
196627	Corynebacterium glutamicum ATCC 13032	1019912	0	live	recA	CGL_RS09730, NCgl1880	recombinase RecA	recombinase RecA			NC_003450.3	2063986	2065116	minus	0		
196627	Corynebacterium glutamicum ATCC 13032	1019554	0	live	tpiA	CGL_RS07930, NCgl1524	triose-phosphate isomerase	triose-phosphate isomerase			NC_003450.3	1680329	1681108	minus	0		
196627	Corynebacterium glutamicum ATCC 13032	1019254	0	live	ilvC	CGL_RS06340, NCgl1224	ketol-acid reductoisomerase	ketol-acid reductoisomerase			NC_003450.3	1340724	1341740	plus	0		
196627	Corynebacterium glutamicum ATCC 13032	1020967	0	live	CGL_RS15075	CGL_RS15075, NCgl2923	3-hydroxybenzoate 6-hydroxylase	3-hydroxybenzoate 6-hydroxylase			NC_003450.3	3229120	3230448	plus	0		
196627	Corynebacterium glutamicum ATCC 13032	1020284	0	live	CGL_RS11565	CGL_RS11565, NCgl2251	BCCT family transporter	BCCT family transporter			NC_003450.3	2473654	2475546	plus	0		
196627	Corynebacterium glutamicum ATCC 13032	1020314	0	live	CGL_RS11720	CGL_RS11720, NCgl2281	translation initiation factor IF-2 N-terminal domain-containing protein	translation initiation factor IF-2 N-terminal domain-containing protein			NC_003450.3	2504829	2507894	minus	0		
196627	Corynebacterium glutamicum ATCC 13032	1020883	0	live	mcbR	CGL_RS14625, NCgl2840	TetR/AcrR family transcriptional regulator MbcR	TetR/AcrR family transcriptional regulator MbcR			NC_003450.3	3140883	3141524	minus	0		
196627	Corynebacterium glutamicum ATCC 13032	1019891	0	live	CGL_RS09625	CGL_RS09625, NCgl1859	DeoR/GlpR family DNA-binding transcription regulator	DeoR/GlpR family DNA-binding transcription regulator			NC_003450.3	2041728	2042522	plus	0		
196627	Corynebacterium glutamicum ATCC 13032	1019371	0	live	argJ	CGL_RS06970, NCgl1341	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ			NC_003450.3	1465210	1466376	plus	0		
196627	Corynebacterium glutamicum ATCC 13032	1018858	0	live	amtR	CGL_RS04340, NCgl0829	TetR/AcrR family transcriptional regulator AmtR	TetR/AcrR family transcriptional regulator AmtR			NC_003450.3	922393	923061	minus	0		
196627	Corynebacterium glutamicum ATCC 13032	1021323	0	live	CGL_RS01390	CGL_RS01390, NCgl0259	low molecular weight phosphatase family protein	low molecular weight phosphatase family protein			NC_003450.3	279893	280282	plus	0		
196627	Corynebacterium glutamicum ATCC 13032	1020040	0	live	pyk	CGL_RS10365, NCgl2008	pyruvate kinase	pyruvate kinase			NC_003450.3	2205665	2207092	minus	0		
196627	Corynebacterium glutamicum ATCC 13032	1018979	0	live	CGL_RS04960	CGL_RS04960, NCgl0950	3-deoxy-7-phosphoheptulonate synthase	3-deoxy-7-phosphoheptulonate synthase			NC_003450.3	1046610	1047710	plus	0		
196627	Corynebacterium glutamicum ATCC 13032	1020868	0	live	msrA	CGL_RS14555, NCgl2825	peptide-methionine (S)-S-oxide reductase MsrA	peptide-methionine (S)-S-oxide reductase MsrA			NC_003450.3	3125493	3126146	minus	0		
196627	Corynebacterium glutamicum ATCC 13032	1019374	0	live	argF	CGL_RS06985, NCgl1344	ornithine carbamoyltransferase	ornithine carbamoyltransferase			NC_003450.3	1468565	1469524	plus	0		
196627	Corynebacterium glutamicum ATCC 13032	1020697	0	live	CGL_RS13720	CGL_RS13720, NCgl2656	acetate kinase	acetate kinase			NC_003450.3	2935313	2936506	minus	0		
196627	Corynebacterium glutamicum ATCC 13032	1018824	0	live	CGL_RS04170	CGL_RS04170, NCgl0795	citrate synthase	citrate synthase			NC_003450.3	877838	879151	plus	0		
196627	Corynebacterium glutamicum ATCC 13032	1019512	0	live	can	CGL_RS07720, NCgl1482	aconitate hydratase	aconitate hydratase			NC_003450.3	1626291	1629110	plus	0		
196627	Corynebacterium glutamicum ATCC 13032	1021325	0	live	glxR	CGL_RS01525, NCgl0286	CRP-like cAMP-activated global transcriptional regulator GlxR	CRP-like cAMP-activated global transcriptional regulator GlxR			NC_003450.3	306779	307462	minus	0		
196627	Corynebacterium glutamicum ATCC 13032	1019117	0	live	CGL_RS05650	CGL_RS05650, NCgl1087	shikimate 5-dehydrogenase	shikimate 5-dehydrogenase			NC_003450.3	1180869	1181675	minus	0		
